symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
IWM,2025-06-06,2025-06-09,213.87,LONG,3.3521428571428595,210.13,198.26,11.870000000000005,206.85500000000002,0.528020455998298,24224805.0,218.8982142857143,210.51785714285714,15,1.5,1.0,stop_first,2025-06-13,210.51785714285714,0,5
IWM,2025-06-09,2025-06-10,214.46,LONG,3.265714285714288,212.13,199.65,12.47999999999999,207.48250000000002,0.3766404199475119,25352705.0,219.35857142857145,211.1942857142857,15,1.5,1.0,stop_first,2025-06-13,211.1942857142857,0,4
SPY,2025-06-10,2025-06-11,604.19,LONG,6.837857142857152,601.25,575.6,25.649999999999977,591.4925000000001,0.2676277029144525,45294425.0,614.4467857142857,597.3521428571429,15,1.5,1.0,stop_first,2025-06-13,597.3521428571429,0,3
TLT,2025-06-12,2025-06-13,86.73,LONG,0.9450000000000033,86.93,83.29,3.6400000000000006,85.6645,0.2539682539682477,31294162.0,88.14750000000001,85.785,15,1.5,1.0,stop_first,2025-06-13,85.785,0,1
GLD,2025-06-13,2025-06-16,314.8,LONG,4.2050000000000045,313.1,291.78,21.32000000000005,306.41150000000005,0.758620689655171,11032309.0,321.1075,310.595,15,1.5,1.0,stop_first,2025-06-17,310.595,0,2
XLE,2025-06-13,2025-06-16,43.93,LONG,0.802857142857144,43.31,40.36,2.950000000000003,41.7615,0.921708185053373,70432998.0,45.13428571428572,43.12714285714286,15,1.5,1.0,stop_first,2025-06-23,43.12714285714286,0,8
QQQ,2025-06-24,2025-06-25,542.06,LONG,6.801428571428557,536.78,505.58,31.19999999999999,528.086,0.4410838059231263,27859005.0,552.2621428571427,535.2585714285714,15,1.5,1.0,target_first,2025-06-30,552.2621428571427,1,6
SPY,2025-06-24,2025-06-25,607.91,LONG,6.049285714285726,605.06,575.6,29.459999999999923,596.9485,0.28433108985712996,43103099.0,616.9839285714286,601.8607142857143,15,1.5,1.0,target_first,2025-06-30,616.9839285714286,1,6
QQQ,2025-06-26,2025-06-27,547.26,LONG,6.456428571428554,543.31,511.93,31.37999999999994,530.4485,0.45071357451046856,23406722.0,556.9446428571429,540.8035714285714,15,1.5,1.0,target_first,2025-07-03,556.9446428571429,1,7
SPY,2025-06-26,2025-06-27,612.88,LONG,5.895714285714291,608.61,583.23,25.379999999999995,598.954,0.5529440271383551,42351132.0,621.7235714285714,606.9842857142858,15,1.5,1.0,target_first,2025-07-03,621.7235714285714,1,7
TLT,2025-06-26,2025-06-27,87.57,LONG,0.9300000000000058,87.59,84.79,2.799999999999997,86.324,0.3870967741935454,23676150.0,88.965,86.63999999999999,15,1.5,1.0,stop_first,2025-07-07,86.63999999999999,0,11
QQQ,2025-06-27,2025-06-30,551.26,LONG,6.344999999999986,546.67,511.93,34.73999999999995,531.8565,0.2237982663514698,33814724.0,560.7774999999999,544.915,15,1.5,1.0,stop_first,2025-07-01,544.915,0,2
SPY,2025-06-27,2025-06-30,617.36,LONG,5.737142857142852,612.31,583.23,29.079999999999927,600.1969999999999,0.4531872509960203,57012719.0,625.9657142857143,611.6228571428571,15,1.5,1.0,target_first,2025-07-03,625.9657142857143,1,4
