lookback,strength,stop_atr,trail_atr,hold,fail_wait,eligible_assets,avg_sharpe,median_sharpe,best_sharpe,avg_return,avg_trades,avg_max_dd,avg_win_rate,avg_exp_return,top_symbol,score
30,0.25,2.5,2.5,18,4,5,0.15827778764495912,0.2823256428321838,0.7459215914580024,0.014583434982142962,37.4,-0.029784377102162595,0.5178856822671861,0.0012141298368362678,QQQ,0.47918435110727964
30,0.15,2.5,2.5,12,4,5,0.15032899642100164,-0.07864184315146901,0.8204857560560518,0.01393364472357157,43.6,-0.03470728326118451,0.5104700854700855,0.0006889477918451003,QQQ,0.47853052506183413
30,0.15,2.5,2.5,15,4,5,0.15032899642100164,-0.07864184315146901,0.8204857560560518,0.01393364472357157,43.6,-0.03470728326118451,0.5104700854700855,0.0006889477918451003,QQQ,0.47853052506183413
30,0.15,2.5,2.5,18,4,5,0.15032899642100164,-0.07864184315146901,0.8204857560560518,0.01393364472357157,43.6,-0.03470728326118451,0.5104700854700855,0.0006889477918451003,QQQ,0.47853052506183413
30,0.2,2.0,3.0,12,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.2,2.0,3.0,15,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.2,2.0,3.0,18,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.2,2.0,3.5,12,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.2,2.0,3.5,15,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.2,2.0,3.5,18,4,5,0.18021154747842447,0.16844619324253765,0.6811844111356913,0.018015713217142747,39.6,-0.03610040733185469,0.5234464652448105,0.001256215460806762,QQQ,0.47514227868168035
30,0.25,2.5,3.0,12,4,5,0.1520251011722238,0.2823256428321838,0.7459215914580024,0.014035157380000097,37.4,-0.029784377102162595,0.5178856822671861,0.0011634093473050968,QQQ,0.47472580938812015
30,0.25,2.5,3.0,15,4,5,0.1520251011722238,0.2823256428321838,0.7459215914580024,0.014035157380000097,37.4,-0.029784377102162595,0.5178856822671861,0.0011634093473050968,QQQ,0.47472580938812015
30,0.25,2.5,3.0,18,4,5,0.1520251011722238,0.2823256428321838,0.7459215914580024,0.014035157380000097,37.4,-0.029784377102162595,0.5178856822671861,0.0011634093473050968,QQQ,0.47472580938812015
30,0.15,2.5,3.0,12,4,5,0.14475512159070636,-0.07864184315146901,0.8204857560560518,0.013385367121428704,43.6,-0.03470728326118451,0.5104700854700855,0.0006427357902722557,QQQ,0.47437744858177255
30,0.15,2.5,3.0,15,4,5,0.14475512159070636,-0.07864184315146901,0.8204857560560518,0.013385367121428704,43.6,-0.03470728326118451,0.5104700854700855,0.0006427357902722557,QQQ,0.47437744858177255
30,0.15,2.5,3.0,18,4,5,0.14475512159070636,-0.07864184315146901,0.8204857560560518,0.013385367121428704,43.6,-0.03470728326118451,0.5104700854700855,0.0006427357902722557,QQQ,0.47437744858177255
